"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-16 10:36:14.24",13783,100005,9.15,13.52,87,33.4657,101,40.848,1,10,0.8,8.1,0.63,0.5577616,0.6808,1,16,10,36,13,560000
"2020-01-16 10:36:17.63",13784,100006,8.75,13.52,87,33.4655,101,40.8349,1,10,0.8,8.2,0.61,0.5577583,0.6805817,1,16,10,36,16,950000
"2020-01-16 10:36:20.56",13785,100007,11.22,13.51,87,33.4651,101,40.8092,1,10,0.8,8.4,0.77,0.5577516,0.6801533,1,16,10,36,19,880000
"2020-01-16 10:36:23.25",13786,100008,13.24,13.51,87,33.4645,101,40.7912,1,10,0.8,8.7,0.90,0.5577417,0.6798534,1,16,10,36,22,570000
"2020-01-16 10:36:25.8",13787,100009,14.3,13.51,87,33.4642,101,40.7764,1,10,0.8,8.8,0.97,0.5577366,0.6796066,1,16,10,36,25,120000
"2020-01-16 10:36:28.44",13788,100010,18.62,13.51,87,33.4638,101,40.7481,1,10,0.8,9.1,1.254,0.55773,0.679135,1,16,10,36,27,760000
"2020-01-16 10:36:31.28",13789,100011,20.86,13.52,87,33.4633,101,40.7364,1,10,0.8,9.4,1.4,0.5577217,0.67894,1,16,10,36,30,600000
"2020-01-16 10:36:34.13",13790,100012,24.22,13.51,87,33.463,101,40.7107,1,10,0.8,9.7,1.62,0.5577167,0.6785117,1,16,10,36,33,450000
"2020-01-16 10:36:37.03",13791,100013,24.45,13.5,87,33.4627,101,40.6861,1,10,0.8,9.9,1.635,0.5577117,0.6781017,1,16,10,36,36,350000
"2020-01-16 10:36:40.26",13792,100014,24.22,13.52,87,33.4622,101,40.6587,1,10,0.8,9.8,1.62,0.5577033,0.677645,1,16,10,36,39,580000
"2020-01-16 10:36:43.02",13793,100015,23.72,13.51,87,33.462,101,40.6362,1,10,0.8,9.6,1.587,0.5577,0.67727,1,16,10,36,42,340000
"2020-01-16 10:36:46.03",13794,100016,23.1,13.51,87,33.4618,101,40.6142,1,10,0.8,9.4,1.547,0.5576966,0.6769034,1,16,10,36,45,350000
"2020-01-16 10:36:49.21",13795,100017,24.73,13.5,87,33.4617,101,40.5944,1,10,0.8,9.2,1.653,0.557695,0.6765734,1,16,10,36,48,530000
"2020-01-16 10:36:52.92",13796,100018,19.74,13.5,87,33.4612,101,40.5678,1,10,0.8,9.1,1.327,0.5576867,0.67613,1,16,10,36,52,240000
"2020-01-16 10:36:56.44",13797,100019,23.88,13.5,87,33.4606,101,40.5465,1,10,0.8,9.1,1.598,0.5576767,0.675775,1,16,10,36,55,760000
"2020-01-16 10:37:07.65",13798,100020,23.89,13.5,87,33.4597,101,40.5051,1,10,0.8,8.5,1.598,0.5576617,0.675085,1,16,10,37,6,970000
"2020-01-16 10:37:13.25",13799,100021,15.98,13.5,87,33.4595,101,40.465,1,10,0.8,8,1.081,0.5576583,0.6744166,1,16,10,37,12,570000
"2020-01-16 10:37:16.98",13800,100022,21.31,13.5,87,33.4593,101,40.4444,1,10,0.8,8,1.43,0.557655,0.6740734,1,16,10,37,16,300000
"2020-01-16 10:37:21.68",13801,100023,30.39,13.5,87,33.4591,101,40.4276,1,10,0.8,7.5,2.023,0.5576516,0.6737934,1,16,10,37,21,0
"2020-01-16 10:37:25.46",13802,100024,32.29,13.49,87,33.4588,101,40.4048,1,10,0.8,7.2,2.148,0.5576467,0.6734134,1,16,10,37,24,780000
"2020-01-16 10:37:30.83",13803,100025,26.58,13.49,87,33.4585,101,40.3892,1,10,0.8,6.8,1.774,0.5576417,0.6731533,1,16,10,37,30,150000
"2020-01-16 10:37:36.23",13804,100026,27.14,13.49,87,33.458,101,40.3612,1,10,0.8,6.3,1.811,0.5576334,0.6726866,1,16,10,37,35,550000
"2020-01-16 10:37:39.94",13805,100027,26.91,13.49,87,33.4577,101,40.3408,1,10,0.8,6.1,1.796,0.5576283,0.6723467,1,16,10,37,39,260000
"2020-01-16 10:37:43.79",13806,100028,28.82,13.49,87,33.4576,101,40.3276,1,11,0.7,5.7,1.921,0.5576267,0.6721266,1,16,10,37,43,110000
"2020-01-16 10:37:47.4",13807,100029,32.41,13.49,87,33.4573,101,40.3024,1,11,0.7,5.2,2.155,0.5576216,0.6717066,1,16,10,37,46,720000
"2020-01-16 10:37:51.54",13808,100030,22.54,13.48,87,33.4572,101,40.2808,1,11,0.7,4.7,1.51,0.55762,0.6713466,1,16,10,37,50,860000
"2020-01-16 10:37:57.26",13809,100031,57.18,13.48,87,33.4568,101,40.2556,1,11,0.7,4.4,3.776,0.5576133,0.6709267,1,16,10,37,56,580000
"2020-01-16 10:38:01.31",13810,100032,47.09,13.48,87,33.4564,101,40.2414,1,11,0.7,4.3,3.116,0.5576067,0.67069,1,16,10,38,0,630000
"2020-01-16 10:38:05.27",13811,100033,16.94,13.48,87,33.4559,101,40.2216,1,11,0.7,4,1.144,0.5575983,0.67036,1,16,10,38,4,590000
"2020-01-16 10:38:07.93",13812,100034,15.37,13.48,87,33.4555,101,40.2007,1,11,0.7,3.8,1.041,0.5575917,0.6700116,1,16,10,38,7.000,250000
"2020-01-16 10:38:11.8",13813,100035,13.24,13.48,87,33.4552,101,40.1881,1,11,0.7,3.6,0.90,0.5575867,0.6698016,1,16,10,38,11,120000
"2020-01-16 10:38:14.97",13814,100036,7.409,13.48,87,33.4547,101,40.1715,1,11,0.7,3.4,0.52,0.5575783,0.669525,1,16,10,38,14,290000
"2020-01-16 10:38:17.11",13815,100037,10.66,13.48,87,33.4544,101,40.1631,1,11,0.7,3.3,0.73,0.5575733,0.669385,1,16,10,38,16,430000
"2020-01-16 10:38:19.24",13816,100038,12.9,13.48,87,33.454,101,40.1519,1,10,0.7,3.3,0.88,0.5575666,0.6691983,1,16,10,38,18,560000
"2020-01-16 10:38:21.35",13817,100039,13.8,13.47,87,33.4535,101,40.145,1,10,0.7,3.1,0.94,0.5575583,0.6690834,1,16,10,38,20,670000
"2020-01-16 10:38:23.54",13818,100040,21.64,13.47,87,33.4531,101,40.1273,1,10,0.7,3.3,1.452,0.5575516,0.6687883,1,16,10,38,22,860000
"2020-01-16 10:38:25.58",13819,100041,27.81,13.47,87,33.4528,101,40.112,1,10,0.7,3.3,1.855,0.5575467,0.6685333,1,16,10,38,24,900000
"2020-01-16 10:38:27.65",13820,100042,33.3,13.48,87,33.4524,101,40.0989,1,10,0.7,3.3,2.214,0.55754,0.668315,1,16,10,38,26,970000
"2020-01-16 10:38:29.89",13821,100043,33.19,13.48,87,33.4517,101,40.0771,1,10,0.7,3.4,2.207,0.5575283,0.6679516,1,16,10,38,29,210000
"2020-01-16 10:38:32.23",13822,100044,31.12,13.47,87,33.4514,101,40.068,1,10,0.7,3.2,2.071,0.5575234,0.6678,1,16,10,38,31,550000
"2020-01-16 10:38:34.38",13823,100045,33.64,13.48,87,33.451,101,40.0546,1,10,0.7,3.2,2.236,0.5575167,0.6675767,1,16,10,38,33,700000
"2020-01-16 10:38:36.97",13824,100046,45.19,13.47,87,33.4505,101,40.036,1,10,0.7,3.2,2.991,0.5575084,0.6672667,1,16,10,38,36,290000
"2020-01-16 10:38:39.27",13825,100047,36.67,13.47,87,33.45,101,40.0288,1,10,0.7,3.2,2.434,0.5575,0.6671467,1,16,10,38,38,590000
"2020-01-16 10:38:41.71",13826,100048,30.84,13.47,87,33.4497,101,40.0213,1,10,0.7,3.3,2.053,0.557495,0.6670217,1,16,10,38,41,30000
"2020-01-16 10:38:44.08",13827,100049,26.91,13.47,87,33.4491,101,40.0041,1,10,0.7,3.5,1.796,0.557485,0.666735,1,16,10,38,43,400000
"2020-01-16 10:38:46.11",13828,100050,24.45,13.47,87,33.4485,101,39.9902,1,10,0.7,3.6,1.635,0.557475,0.6665033,1,16,10,38,45,430000
"2020-01-16 10:38:47.95",13829,100051,28.03,13.47,87,33.4481,101,39.9838,1,10,0.7,3.7,1.87,0.5574684,0.6663967,1,16,10,38,47,270000
"2020-01-16 10:38:49.84",13830,100052,22.54,13.47,87,33.4477,101,39.9729,1,10,0.7,3.7,1.51,0.5574617,0.666215,1,16,10,38,49,160000
"2020-01-16 10:38:51.88",13831,100053,23.61,13.47,87,33.4472,101,39.962,1,10,0.7,3.7,1.58,0.5574533,0.6660334,1,16,10,38,51,200000
"2020-01-16 10:38:54.63",13832,100054,20.75,13.47,87,33.4464,101,39.9349,1,10,0.7,3.5,1.393,0.55744,0.6655816,1,16,10,38,53,950000
"2020-01-16 10:38:56.96",13833,100055,18.62,13.47,87,33.4459,101,39.9141,1,10,0.7,3.4,1.254,0.5574316,0.665235,1,16,10,38,56,280000
"2020-01-16 10:38:59.22",13834,100056,20.41,13.46,87,33.4455,101,39.9059,1,10,0.7,3.5,1.371,0.557425,0.6650983,1,16,10,38,58,540000
"2020-01-16 10:39:01.37",13835,100057,19.52,13.47,87,33.4452,101,39.8965,1,10,0.7,3.5,1.312,0.55742,0.6649417,1,16,10,39,0,690000
"2020-01-16 10:39:03.55",13836,100058,16.99,13.46,87,33.4447,101,39.886,1,10,0.7,3.5,1.147,0.5574116,0.6647667,1,16,10,39,2,870000
"2020-01-16 10:39:05.69",13837,100059,21.93,13.46,87,33.4445,101,39.8767,1,10,0.7,3.4,1.47,0.5574083,0.6646117,1,16,10,39,5,10000
"2020-01-16 10:39:09.12",13838,100060,2.477,13.46,87,33.4438,101,39.8567,1,10,0.7,3.1,0.20,0.5573967,0.6642783,1,16,10,39,8,440000
"2020-01-16 10:39:11.87",13839,100061,19.4,13.46,87,33.4438,101,39.8545,1,10,0.7,2.9,1.305,0.5573967,0.6642417,1,16,10,39,11,190000
"2020-01-16 10:39:14.36",13840,100062,16.43,13.46,87,33.443,101,39.8402,1,10,0.7,2.7,1.111,0.5573834,0.6640033,1,16,10,39,13,680000
"2020-01-16 10:39:16.33",13841,100063,18.39,13.46,87,33.4428,101,39.8316,1,10,0.7,2.7,1.239,0.55738,0.66386,1,16,10,39,15,650000
"2020-01-16 10:39:18.35",13842,100064,29.16,13.46,87,33.4423,101,39.8209,1,10,0.7,2.7,1.943,0.5573717,0.6636817,1,16,10,39,17,670000
"2020-01-16 10:39:20.47",13843,100065,33.53,13.46,87,33.442,101,39.8116,1,10,0.7,2.6,2.229,0.5573667,0.6635266,1,16,10,39,19,790000
"2020-01-16 10:39:22.52",13844,100066,30.67,13.46,87,33.4417,101,39.8032,1,11,0.7,2.6,2.042,0.5573617,0.6633866,1,16,10,39,21,840000
"2020-01-16 10:39:24.59",13845,100067,31.62,13.46,87,33.4412,101,39.7939,1,11,0.7,2.5,2.104,0.5573533,0.6632317,1,16,10,39,23,910000
"2020-01-16 10:39:26.6",13846,100068,35.32,13.46,87,33.4408,101,39.7826,1,11,0.7,2.5,2.346,0.5573466,0.6630433,1,16,10,39,25,920000
"2020-01-16 10:39:28.68",13847,100069,29.16,13.46,87,33.4404,101,39.7736,1,11,0.7,2.4,1.943,0.55734,0.6628934,1,16,10,39,28,0
"2020-01-16 10:39:30.62",13848,100070,27.14,13.46,87,33.4398,101,39.7626,1,11,0.7,2.4,1.811,0.55733,0.66271,1,16,10,39,29,940000
"2020-01-16 10:39:32.91",13849,100071,28.82,13.46,87,33.439,101,39.7445,1,11,0.7,2.3,1.921,0.5573167,0.6624083,1,16,10,39,32,230000
"2020-01-16 10:39:34.72",13850,100072,24.22,13.46,87,33.4388,101,39.7378,1,11,0.7,2.2,1.62,0.5573133,0.6622966,1,16,10,39,34,40000
"2020-01-16 10:39:36.66",13851,100073,27.7,13.46,87,33.4383,101,39.7239,1,11,0.7,2.1,1.848,0.557305,0.662065,1,16,10,39,35,980000
"2020-01-16 10:39:38.66",13852,100074,30.45,13.45,87,33.4377,101,39.71,1,11,0.7,2.1,2.027,0.557295,0.6618334,1,16,10,39,37,980000
"2020-01-16 10:39:40.51",13853,100075,25.34,13.46,87,33.4372,101,39.6954,1,11,0.7,2,1.694,0.5572866,0.66159,1,16,10,39,39,830000
"2020-01-16 10:39:42.48",13854,100076,33.98,13.45,87,33.4367,101,39.6844,1,11,0.7,2,2.258,0.5572783,0.6614066,1,16,10,39,41,800000
"2020-01-16 10:39:44.56",13855,100077,35.49,13.46,87,33.4362,101,39.6711,1,11,0.7,1.9,2.357,0.55727,0.661185,1,16,10,39,43,880000
"2020-01-16 10:39:46.63",13856,100078,33.42,13.45,87,33.4357,101,39.6601,1,11,0.7,1.9,2.221,0.5572616,0.6610016,1,16,10,39,45,950000
"2020-01-16 10:39:48.6",13857,100079,33.98,13.45,87,33.435,101,39.6515,1,11,0.7,1.7,2.258,0.55725,0.6608583,1,16,10,39,47,920000
"2020-01-16 10:39:50.57",13858,100080,37.23,13.46,87,33.4345,101,39.6434,1,11,0.7,1.7,2.471,0.5572417,0.6607233,1,16,10,39,49,890000
"2020-01-16 10:39:52.6",13859,100081,38.91,13.45,87,33.4339,101,39.6339,1,11,0.7,1.7,2.581,0.5572317,0.660565,1,16,10,39,51,920000
"2020-01-16 10:39:54.6",13860,100082,45.13,13.46,87,33.4333,101,39.6228,1,11,0.7,1.6,2.988,0.5572216,0.66038,1,16,10,39,53,920000
"2020-01-16 10:39:56.79",13861,100083,51.8,13.45,87,33.4328,101,39.6116,1,11,0.7,1.7,3.424,0.5572134,0.6601933,1,16,10,39,56,110000
"2020-01-16 10:40:00.31",13862,100084,37.12,13.45,87,33.4315,101,39.5947,1,11,0.7,1.7,2.463,0.5571917,0.6599117,1,16,10,39,59,630000
"2020-01-16 10:40:02.62",13863,100085,28.26,13.45,87,33.4316,101,39.5895,1,11,0.7,1.7,1.884,0.5571933,0.659825,1,16,10,40,1,940000
"2020-01-16 10:40:05.06",13864,100086,40.7,13.45,87,33.4308,101,39.5764,1,11,0.7,1.7,2.698,0.55718,0.6596067,1,16,10,40,4,380000
"2020-01-16 10:40:08.23",13865,100087,40.48,13.45,87,33.43,101,39.5654,1,11,0.7,1.4,2.683,0.5571667,0.6594233,1,16,10,40,7.000,550000
"2020-01-16 10:40:11.07",13866,100088,42.94,13.44,87,33.4294,101,39.5549,1,11,0.7,1.5,2.845,0.5571567,0.6592484,1,16,10,40,10,390000
"2020-01-16 10:40:13.52",13867,100089,34.09,13.44,87,33.4289,101,39.5478,1,11,0.7,1.6,2.265,0.5571483,0.65913,1,16,10,40,12,840000
"2020-01-16 10:40:16.58",13868,100090,18.84,13.44,87,33.4284,101,39.5328,1,11,0.7,2,1.268,0.55714,0.65888,1,16,10,40,15,900000
"2020-01-16 10:40:18.7",13869,100091,14.47,13.45,87,33.4282,101,39.5231,1,11,0.7,2,0.98,0.5571366,0.6587184,1,16,10,40,18,20000
"2020-01-16 10:40:20.53",13870,100092,9.65,13.45,87,33.4278,101,39.5168,1,11,0.7,2,0.67,0.55713,0.6586133,1,16,10,40,19,850000
"2020-01-16 10:40:22.49",13871,100093,10.77,13.44,87,33.4274,101,39.5063,1,11,0.7,1.9,0.74,0.5571233,0.6584384,1,16,10,40,21,810000
"2020-01-16 10:40:24.45",13872,100094,9.2,13.45,87,33.427,101,39.4978,1,11,0.7,1.9,0.64,0.5571166,0.6582966,1,16,10,40,23,770000
"2020-01-16 10:40:26.89",13873,100095,11.44,13.45,87,33.4265,101,39.487,1,11,0.7,1.8,0.78,0.5571083,0.6581166,1,16,10,40,26,210000
"2020-01-16 10:40:28.78",13874,100096,6.568,13.43,87,33.4261,101,39.4742,1,11,0.7,1.8,0.47,0.5571017,0.6579034,1,16,10,40,28,100000
"2020-01-16 10:40:30.5",13875,100097,6.512,13.44,87,33.4257,101,39.4614,1,11,0.7,1.8,0.46,0.557095,0.65769,1,16,10,40,29,820000
"2020-01-16 10:40:32.24",13876,100098,6.568,13.44,87,33.4253,101,39.4491,1,11,0.7,1.7,0.47,0.5570883,0.657485,1,16,10,40,31,560000
"2020-01-16 10:40:34.08",13877,100099,6.849,13.44,87,33.4248,101,39.435,1,11,0.7,1.6,0.48,0.55708,0.65725,1,16,10,40,33,400000
"2020-01-16 10:40:35.9",13878,100100,6.849,13.45,87,33.4243,101,39.4182,1,11,0.7,1.5,0.48,0.5570717,0.65697,1,16,10,40,35,220000
"2020-01-16 10:40:37.69",13879,100101,8.87,13.44,87,33.4241,101,39.4098,1,11,0.7,1.5,0.62,0.5570683,0.65683,1,16,10,40,37,10000
"2020-01-16 10:40:39.53",13880,100102,12.23,13.44,87,33.4237,101,39.3954,1,11,0.7,1.5,0.84,0.5570616,0.65659,1,16,10,40,38,850000
"2020-01-16 10:40:41.53",13881,100103,18.51,13.43,87,33.4233,101,39.3798,1,11,0.7,1.5,1.246,0.557055,0.65633,1,16,10,40,40,850000
"2020-01-16 10:40:43.86",13882,100104,32.41,13.45,87,33.4226,101,39.358,1,11,0.7,1.5,2.156,0.5570433,0.6559667,1,16,10,40,43,170000
"2020-01-16 10:40:49.06",13883,100105,15.14,13.44,87,33.4219,101,39.3223,1,11,0.7,1.4,1.026,0.5570317,0.6553717,1,16,10,40,48,380000
"2020-01-16 10:40:51.5",13884,100106,15.37,13.44,87,33.4218,101,39.3135,1,11,0.7,1.4,1.041,0.55703,0.655225,1,16,10,40,50,820000
"2020-01-16 10:40:53.67",13885,100107,15.93,13.44,87,33.4216,101,39.2982,1,11,0.7,1.4,1.078,0.5570267,0.65497,1,16,10,40,52,990000
"2020-01-16 10:40:55.62",13886,100108,15.26,13.43,87,33.4212,101,39.2837,1,11,0.7,1.2,1.034,0.55702,0.6547283,1,16,10,40,54,940000
"2020-01-16 10:40:57.55",13887,100109,11.11,13.43,87,33.4209,101,39.2715,1,11,0.7,1.3,0.76,0.557015,0.654525,1,16,10,40,56,870000
"2020-01-16 10:40:59.5",13888,100110,13.91,13.43,87,33.4205,101,39.2547,1,11,0.7,1.2,0.95,0.5570084,0.654245,1,16,10,40,58,820000
"2020-01-16 10:41:01.38",13889,100111,15.09,13.43,87,33.4201,101,39.2373,1,11,0.7,1.2,1.023,0.5570017,0.653955,1,16,10,41,0,700000
"2020-01-16 10:41:03.39",13890,100112,15.93,13.43,87,33.4201,101,39.2223,1,11,0.7,1,1.078,0.5570017,0.653705,1,16,10,41,2,710000
"2020-01-16 10:41:05.4",13891,100113,16.43,13.43,87,33.42,101,39.2092,1,11,0.7,0.8,1.111,0.557,0.6534867,1,16,10,41,4,720000
"2020-01-16 10:41:07.48",13892,100114,19.85,13.43,87,33.4197,101,39.1904,1,11,0.7,1,1.334,0.556995,0.6531733,1,16,10,41,6,800000
"2020-01-16 10:41:09.69",13893,100115,22.77,13.43,87,33.4194,101,39.1723,1,11,0.7,1,1.525,0.55699,0.6528717,1,16,10,41,9,10000
"2020-01-16 10:41:13.53",13894,100116,5.728,13.43,87,33.4189,101,39.139,1,11,0.7,1.1,0.41,0.5569817,0.6523167,1,16,10,41,12,850000
"2020-01-16 10:41:17.86",13895,100117,21.98,13.43,87,33.4186,101,39.1233,1,11,0.7,1.3,1.474,0.5569766,0.652055,1,16,10,41,17,180000
"2020-01-16 10:41:21.37",13896,100118,65.37,13.43,87,33.4182,101,39.099,1,11,0.7,1.2,4.311,0.55697,0.65165,1,16,10,41,20,690000
"2020-01-16 10:41:24.93",13897,100119,43.34,13.43,87,33.4178,101,39.0778,1,11,0.7,1.1,2.87,0.5569633,0.6512967,1,16,10,41,24,250000
"2020-01-16 10:41:30.66",13898,100120,30.5,13.43,87,33.4168,101,39.0458,1,11,0.7,0.9,2.031,0.5569467,0.6507633,1,16,10,41,29,980000
"2020-01-16 10:41:34.08",13899,100121,30.45,13.43,87,33.417,101,39.0342,1,11,0.7,0.8,2.027,0.55695,0.65057,1,16,10,41,33,400000
"2020-01-16 10:41:40.72",13900,100122,22.54,13.43,87,33.4164,101,39.0148,1,11,0.7,0.7,1.51,0.55694,0.6502467,1,16,10,41,40,40000
"2020-01-16 10:41:42.89",13901,100123,19.85,13.42,87,33.4162,101,38.9984,1,11,0.7,0.7,1.334,0.5569366,0.6499733,1,16,10,41,42,210000
"2020-01-16 10:41:44.78",13902,100124,22.21,13.42,87,33.4161,101,38.989,1,11,0.7,0.6,1.488,0.556935,0.6498166,1,16,10,41,44,100000
"2020-01-16 10:41:46.58",13903,100125,23.44,13.43,87,33.4159,101,38.9712,1,11,0.7,0.5,1.569,0.5569317,0.64952,1,16,10,41,45,900000
"2020-01-16 10:41:48.32",13904,100126,21.76,13.42,87,33.4157,101,38.9544,1,11,0.7,0.6,1.459,0.5569283,0.64924,1,16,10,41,47,640000
"2020-01-16 10:41:50.03",13905,100127,22.09,13.42,87,33.4155,101,38.9355,1,11,0.7,0.4,1.481,0.556925,0.648925,1,16,10,41,49,350000
"2020-01-16 10:41:51.73",13906,100128,21.98,13.42,87,33.4154,101,38.927,1,11,0.7,0.4,1.474,0.5569233,0.6487833,1,16,10,41,51,50000
"2020-01-16 10:41:54.97",13907,100129,24.28,13.42,87,33.4148,101,38.8943,1,11,0.7,0.4,1.624,0.5569133,0.6482383,1,16,10,41,54,290000
"2020-01-16 10:41:56.78",13908,100130,19.96,13.42,87,33.4146,101,38.8901,1,11,0.7,0.4,1.342,0.55691,0.6481683,1,16,10,41,56,100000
"2020-01-16 10:41:59.41",13909,100131,21.76,13.42,87,33.4142,101,38.869,1,11,0.7,0.5,1.459,0.5569033,0.6478166,1,16,10,41,58,730000
"2020-01-16 10:42:02.64",13910,100132,20.41,13.42,87,33.414,101,38.8498,1,11,0.7,0.5,1.371,0.5569,0.6474966,1,16,10,42,1,960000
"2020-01-16 10:42:04.96",13911,100133,25.46,13.42,87,33.4139,101,38.8333,1,11,0.7,0.3,1.701,0.5568983,0.6472217,1,16,10,42,4,280000
"2020-01-16 10:42:06.82",13912,100134,26.35,13.42,87,33.4138,101,38.8247,1,11,0.7,0.4,1.76,0.5568966,0.6470783,1,16,10,42,6,140000
"2020-01-16 10:42:08.58",13913,100135,24.45,13.42,87,33.4134,101,38.8041,1,11,0.7,0.4,1.635,0.55689,0.646735,1,16,10,42,7.000,900000
"2020-01-16 10:42:10.45",13914,100136,15.26,13.42,87,33.4129,101,38.7908,1,11,0.7,0.9,1.034,0.5568817,0.6465133,1,16,10,42,9,770000
"2020-01-16 10:42:12.3",13915,100137,16.27,13.42,87,33.4127,101,38.7756,1,11,0.7,0.7,1.1,0.5568783,0.64626,1,16,10,42,11,620000
"2020-01-16 10:42:14.27",13916,100138,19.85,13.42,87,33.4125,101,38.7613,1,11,0.7,0.7,1.334,0.556875,0.6460217,1,16,10,42,13,590000
"2020-01-16 10:42:16.23",13917,100139,21.98,13.42,87,33.4123,101,38.7463,1,11,0.7,0.6,1.474,0.5568716,0.6457717,1,16,10,42,15,550000
"2020-01-16 10:42:19.13",13918,100140,15.93,13.41,87,33.4118,101,38.7264,1,11,0.7,0.4,1.078,0.5568634,0.64544,1,16,10,42,18,450000
"2020-01-16 10:42:21.45",13919,100141,15.14,13.42,87,33.4117,101,38.7162,1,11,0.7,0.3,1.026,0.5568617,0.64527,1,16,10,42,20,770000
"2020-01-16 10:42:23.44",13920,100142,18.9,13.42,87,33.4114,101,38.7048,1,11,0.7,0.3,1.272,0.5568567,0.64508,1,16,10,42,22,760000
"2020-01-16 10:42:25.57",13921,100143,15.37,13.42,87,33.4111,101,38.689,1,11,0.7,0.2,1.041,0.5568516,0.6448166,1,16,10,42,24,890000
"2020-01-16 10:42:27.65",13922,100144,16.94,13.41,87,33.4108,101,38.673,1,11,0.7,0.1,1.144,0.5568467,0.64455,1,16,10,42,26,970000
"2020-01-16 10:42:29.55",13923,100145,16.04,13.42,87,33.4105,101,38.6593,1,11,0.7,0.1,1.085,0.5568417,0.6443217,1,16,10,42,28,870000
"2020-01-16 10:42:31.28",13924,100146,15.03,13.41,87,33.4102,101,38.6457,1,11,0.7,0.1,1.019,0.5568367,0.644095,1,16,10,42,30,600000
"2020-01-16 10:42:33.13",13925,100147,14.92,13.42,87,33.4097,101,38.6295,1,11,0.7,0,1.012,0.5568283,0.643825,1,16,10,42,32,450000
"2020-01-16 10:42:35.11",13926,100148,13.69,13.41,87,33.4093,101,38.6135,1,11,0.7,-0.2,0.93,0.5568217,0.6435583,1,16,10,42,34,430000
"2020-01-16 10:42:36.97",13927,100149,11.89,13.42,87,33.4088,101,38.601,1,11,0.7,-0.2,0.81,0.5568133,0.64335,1,16,10,42,36,290000
"2020-01-16 10:42:38.73",13928,100150,11.16,13.41,87,33.4085,101,38.5948,1,10,0.7,-0.2,0.77,0.5568084,0.6432466,1,16,10,42,38,50000
"2020-01-16 10:42:40.7",13929,100151,9.88,13.41,87,33.4081,101,38.5815,1,11,0.7,0,0.68,0.5568017,0.643025,1,16,10,42,40,20000
"2020-01-16 10:42:42.77",13930,100152,10.77,13.41,87,33.4076,101,38.5705,1,11,0.7,0.1,0.74,0.5567933,0.6428416,1,16,10,42,42,90000
"2020-01-16 10:42:44.57",13931,100153,10.16,13.41,87,33.4072,101,38.5582,1,11,0.7,-0.1,0.70,0.5567866,0.6426366,1,16,10,42,43,890000
"2020-01-16 10:42:46.4",13932,100154,10.44,13.41,87,33.4067,101,38.5438,1,11,0.7,-0.1,0.72,0.5567783,0.6423967,1,16,10,42,45,720000
"2020-01-16 10:42:48.33",13933,100155,9.88,13.41,87,33.4063,101,38.5319,1,11,0.7,-0.2,0.68,0.5567716,0.6421983,1,16,10,42,47,650000
"2020-01-16 10:42:50.24",13934,100156,9.15,13.41,87,33.4059,101,38.5233,1,11,0.7,-0.1,0.63,0.556765,0.642055,1,16,10,42,49,560000
"2020-01-16 10:42:52.08",13935,100157,10.1,13.41,87,33.4055,101,38.5122,1,11,0.7,0,0.70,0.5567583,0.64187,1,16,10,42,51,400000
"2020-01-16 10:42:53.87",13936,100158,9.88,13.41,87,33.4052,101,38.506,1,11,0.7,0,0.68,0.5567533,0.6417667,1,16,10,42,53,190000
"2020-01-16 10:42:55.75",13937,100159,11.45,13.41,87,33.4047,101,38.4911,1,11,0.7,0,0.79,0.556745,0.6415184,1,16,10,42,55,70000
"2020-01-16 10:42:57.63",13938,100160,11.78,13.41,87,33.4042,101,38.476,1,11,0.7,-0.1,0.81,0.5567367,0.6412667,1,16,10,42,56,950000
"2020-01-16 10:42:59.54",13939,100161,9.43,13.41,87,33.4038,101,38.4622,1,11,0.7,-0.1,0.65,0.55673,0.6410367,1,16,10,42,58,860000
"2020-01-16 10:43:01.42",13940,100162,13.91,13.41,87,33.4033,101,38.4485,1,12,0.7,0,0.95,0.5567217,0.6408084,1,16,10,43,0,740000
"2020-01-16 10:43:03.47",13941,100163,21.87,13.41,87,33.403,101,38.4366,1,12,0.7,0.2,1.466,0.5567167,0.64061,1,16,10,43,2,790000
"2020-01-16 10:43:05.5",13942,100164,19.52,13.41,87,33.4026,101,38.4228,1,12,0.7,0.2,1.312,0.55671,0.64038,1,16,10,43,4,820000
"2020-01-16 10:43:07.26",13943,100165,20.19,13.41,87,33.4022,101,38.4077,1,12,0.7,0.2,1.356,0.5567033,0.6401283,1,16,10,43,6,580000
"2020-01-16 10:43:09.4",13944,100166,17.95,13.41,87,33.4018,101,38.3916,1,12,0.7,0,1.21,0.5566966,0.63986,1,16,10,43,8,720000
