"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-12 06:49:32.78",25621,100001,-0.44,12.94,87,51.9826,87,55.8918,1,10,0.7,-12.3,0.01,0.8663767,0.93153,2,12,6,55,34,170000
"2020-02-12 06:55:40.22",25622,100002,119.9,12.93,87,51.9825,87,55.9188,1,11,0.7,-13.7,7.879,0.866375,0.93198,2,12,6,55,39,540000
"2020-02-12 06:55:42.84",25623,100003,-0.49,12.93,87,51.9826,87,55.9161,1,11,0.7,-13.8,0.00,0.8663767,0.931935,2,12,6,55,42,160000
"2020-02-12 06:55:46.45",25624,100004,119.9,12.93,87,51.9827,87,55.91,1,11,0.7,-13.9,7.879,0.8663784,0.9318334,2,12,6,55,45,770000
"2020-02-12 06:56:17.53",25625,100005,119.9,12.91,87,51.9843,87,55.8426,1,11,0.7,-14.3,7.879,0.866405,0.93071,2,12,6,56,16,850000
"2020-02-12 06:56:18.84",25626,100006,119.9,12.91,87,51.9843,87,55.8415,1,11,0.7,-14.4,7.879,0.866405,0.9306917,2,12,6,56,18,160000
"2020-02-12 06:56:20.24",25627,100007,119.9,12.91,87,51.9844,87,55.839,1,11,0.7,-14.3,7.879,0.8664066,0.93065,2,12,6,56,19,560000
"2020-02-12 06:56:30.58",25628,100008,12.35,12.9,87,51.9852,87,55.8078,1,11,0.7,-15.4,0.84,0.86642,0.93013,2,12,6,56,29,900000
"2020-02-12 06:56:50.93",25629,100009,11.51,12.89,87,51.9859,87,55.7588,1,11,0.7,-15.6,0.79,0.8664317,0.9293134,2,12,6,56,50,250000
"2020-02-12 06:56:55.07",25630,100010,10.78,12.89,87,51.986,87,55.7401,1,11,0.7,-14.9,0.74,0.8664334,0.9290017,2,12,6,56,54,390000
"2020-02-12 06:57:00.55",25631,100011,9.88,12.89,87,51.9861,87,55.7187,1,11,0.7,-14.3,0.68,0.866435,0.928645,2,12,6,56,59,870000
"2020-02-12 06:57:05.75",25632,100012,12.24,12.89,87,51.986,87,55.699,1,11,0.7,-14.1,0.84,0.8664334,0.9283167,2,12,6,57,5,70000
"2020-02-12 06:57:10.12",25633,100013,7.975,12.89,87,51.9862,87,55.6809,1,11,0.7,-13.6,0.56,0.8664366,0.928015,2,12,6,57,9,440000
"2020-02-12 06:57:14.84",25634,100014,9.10,12.89,87,51.9861,87,55.6599,1,11,0.7,-12.9,0.63,0.866435,0.927665,2,12,6,57,14,160000
"2020-02-12 06:57:19.57",25635,100015,10.22,12.88,87,51.9859,87,55.6399,1,11,0.7,-12.3,0.70,0.8664317,0.9273317,2,12,6,57,18,890000
"2020-02-12 06:57:24.43",25636,100016,9.99,12.87,87,51.9858,87,55.6144,1,11,0.7,-12,0.69,0.8664301,0.9269066,2,12,6,57,23,750000
"2020-02-12 06:57:29.48",25637,100017,10.95,12.88,87,51.9859,87,55.5956,1,11,0.7,-11.8,0.75,0.8664317,0.9265934,2,12,6,57,28,800000
"2020-02-12 06:57:34.47",25638,100018,10.16,12.87,87,51.9859,87,55.5745,1,11,0.7,-11.7,0.70,0.8664317,0.9262417,2,12,6,57,33,790000
"2020-02-12 06:57:38.82",25639,100019,7.246,12.87,87,51.9856,87,55.5557,1,11,0.7,-11.8,0.51,0.8664266,0.9259283,2,12,6,57,38,140000
"2020-02-12 06:57:45.24",25640,100020,9.77,12.87,87,51.9857,87,55.5322,1,11,0.7,-11.7,0.68,0.8664283,0.9255367,2,12,6,57,44,550000
"2020-02-12 06:57:49.45",25641,100021,14.93,12.87,87,51.9858,87,55.5122,1,11,0.7,-11.7,1.012,0.8664301,0.9252034,2,12,6,57,48,770000
"2020-02-12 06:57:54.38",25642,100022,11,12.86,87,51.9859,87,55.4922,1,11,0.7,-11.6,0.76,0.8664317,0.9248699,2,12,6,57,53,690000
"2020-02-12 06:57:58.91",25643,100023,12.63,12.86,87,51.9859,87,55.4797,1,11,0.7,-11.6,0.86,0.8664317,0.9246616,2,12,6,57,58,230000
"2020-02-12 06:58:03.94",25644,100024,14.82,12.86,87,51.9857,87,55.4558,1,11,0.7,-11.2,1.005,0.8664283,0.9242633,2,12,6,58,3,260000
"2020-02-12 06:58:08.47",25645,100025,11.9,12.85,87,51.9857,87,55.4403,1,11,0.7,-11,0.81,0.8664283,0.924005,2,12,6,58,7.000,790000
"2020-02-12 06:58:13.61",25646,100026,19.31,12.85,87,51.9857,87,55.4215,1,11,0.7,-10.7,1.299,0.8664283,0.9236917,2,12,6,58,12,930000
"2020-02-12 06:58:17.95",25647,100027,16.05,12.85,87,51.9857,87,55.4136,1,11,0.7,-10.7,1.086,0.8664283,0.92356,2,12,6,58,17,270000
"2020-02-12 06:58:23.18",25648,100028,19.75,12.85,87,51.9855,87,55.3812,1,11,0.7,-10.5,1.328,0.866425,0.92302,2,12,6,58,22,500000
"2020-02-12 06:58:28.15",25649,100029,26.6,12.85,87,51.9853,87,55.3579,1,11,0.7,-10.6,1.775,0.8664216,0.9226316,2,12,6,58,27,460000
"2020-02-12 06:58:37.32",25650,100030,29.29,12.84,87,51.9852,87,55.3262,1,11,0.7,-10.7,1.952,0.86642,0.9221033,2,12,6,58,36,640000
"2020-02-12 06:58:44.49",25651,100031,28.28,12.85,87,51.9853,87,55.2922,1,11,0.7,-10.6,1.886,0.8664216,0.9215366,2,12,6,58,43,810000
"2020-02-12 06:58:50.45",25652,100032,26.93,12.84,87,51.9852,87,55.2758,1,11,0.7,-10.8,1.797,0.86642,0.9212634,2,12,6,58,49,760000
"2020-02-12 06:58:54.65",25653,100033,22.67,12.84,87,51.9853,87,55.2605,1,11,0.7,-10.7,1.519,0.8664216,0.9210083,2,12,6,58,53,970000
"2020-02-12 06:59:01.07",25654,100034,23.68,12.83,87,51.9853,87,55.2359,1,11,0.7,-10.5,1.585,0.8664216,0.9205983,2,12,6,59,0,390000
"2020-02-12 06:59:05.29",25655,100035,33.22,12.84,87,51.9854,87,55.2208,1,11,0.7,-10.4,2.208,0.8664234,0.9203466,2,12,6,59,4,610000
"2020-02-12 06:59:10.54",25656,100036,34.79,12.84,87,51.9854,87,55.2027,1,11,0.7,-10.3,2.311,0.8664234,0.920045,2,12,6,59,9,860000
"2020-02-12 06:59:15.61",25657,100037,34.39,12.83,87,51.9853,87,55.1814,1,11,0.7,-10,2.285,0.8664216,0.91969,2,12,6,59,14,930000
"2020-02-12 06:59:20.34",25658,100038,33.1,12.83,87,51.9853,87,55.1602,1,11,0.7,-9.9,2.201,0.8664216,0.9193366,2,12,6,59,19,660000
"2020-02-12 06:59:27.4",25659,100039,23.23,12.83,87,51.9858,87,55.1327,1,11,0.7,-10,1.555,0.8664301,0.9188784,2,12,6,59,26,720000
"2020-02-12 06:59:35.13",25660,100040,18.75,12.83,87,51.9861,87,55.1093,1,11,0.7,-10.3,1.262,0.866435,0.9184883,2,12,6,59,34,450000
"2020-02-12 06:59:40.6",25661,100041,16.73,12.82,87,51.986,87,55.0907,1,11,0.7,-9.9,1.13,0.8664334,0.9181783,2,12,6,59,39,920000
"2020-02-12 06:59:49.89",25662,100042,22.56,12.82,87,51.9858,87,55.0693,1,11,0.7,-9.6,1.511,0.8664301,0.9178217,2,12,6,59,49,210000
"2020-02-12 06:59:55.35",25663,100043,21.44,12.82,87,51.9858,87,55.0417,1,11,0.7,-9.5,1.438,0.8664301,0.9173616,2,12,6,59,54,670000
"2020-02-12 07:00:04.39",25664,100044,24.07,12.82,87,51.9859,87,55.0147,1,11,0.7,-9.4,1.61,0.8664317,0.9169118,2,12,7.000,0,3,710000
"2020-02-12 07:00:10.7",25665,100045,26.6,12.82,87,51.9858,87,54.9831,1,11,0.7,-9.4,1.776,0.8664301,0.916385,2,12,7.000,0,10,20000
"2020-02-12 07:00:26.93",25666,100046,61.54,12.81,87,51.9858,87,54.9444,1,11,0.7,-9.8,4.061,0.8664301,0.91574,2,12,7.000,0,26,250000
"2020-02-12 07:00:39.11",25667,100047,39.05,12.8,87,51.9862,87,54.9062,1,11,0.7,-9.9,2.59,0.8664366,0.9151033,2,12,7.000,0,38,430000
"2020-02-12 07:00:48.73",25668,100048,38.44,12.8,87,51.9866,87,54.8877,1,11,0.7,-9.8,2.55,0.8664434,0.914795,2,12,7.000,0,48,50000
"2020-02-12 07:00:58.29",25669,100049,37.93,12.8,87,51.9868,87,54.8662,1,11,0.7,-9.8,2.517,0.8664466,0.9144366,2,12,7.000,0,57,610000
"2020-02-12 07:01:04.54",25670,100050,45.22,12.8,87,51.9868,87,54.8444,1,11,0.7,-9.6,2.994,0.8664466,0.9140733,2,12,7.000,1,3,860000
"2020-02-12 07:01:13.46",25671,100051,35.69,12.8,87,51.9869,87,54.8176,1,11,0.7,-9.7,2.37,0.8664483,0.9136266,2,12,7.000,1,12,780000
"2020-02-12 07:01:18.74",25672,100052,26.6,12.79,87,51.9869,87,54.7966,1,11,0.7,-9.8,1.776,0.8664483,0.9132766,2,12,7.000,1,18,60000
"2020-02-12 07:01:28.8",25673,100053,11.12,12.79,87,51.9872,87,54.7758,1,11,0.7,-10.2,0.76,0.8664534,0.9129299,2,12,7.000,1,28,120000
"2020-02-12 07:01:45.2",25674,100054,41.91,12.79,87,51.9877,87,54.7154,1,11,0.7,-10.2,2.777,0.8664617,0.9119234,2,12,7.000,1,44,520000
"2020-02-12 07:01:57.04",25675,100055,74.96,12.78,87,51.9881,87,54.6946,1,11,0.7,-10,4.938,0.8664683,0.9115766,2,12,7.000,1,56,360000
"2020-02-12 07:02:06.7",25676,100056,99.4,12.77,87,51.9883,87,54.6599,1,11,0.7,-10.2,6.538,0.8664717,0.9109983,2,12,7.000,2,6,20000
"2020-02-12 07:02:15.49",25677,100057,108.4,12.77,87,51.9888,87,54.6345,1,11,0.7,-9.7,7.125,0.86648,0.910575,2,12,7.000,2,14,800000
"2020-02-12 07:02:27.2",25678,100058,93.6,12.77,87,51.9887,87,54.6088,1,11,0.7,-9.1,6.156,0.8664783,0.9101466,2,12,7.000,2,26,520000
"2020-02-12 07:02:36.95",25679,100059,87.5,12.77,87,51.9888,87,54.5717,1,11,0.7,-8.8,5.76,0.86648,0.9095284,2,12,7.000,2,36,270000
"2020-02-12 07:02:46.32",25680,100060,71.14,12.77,87,51.9894,87,54.5324,1,11,0.7,-8.6,4.689,0.86649,0.9088733,2,12,7.000,2,45,640000
"2020-02-12 07:02:56.15",25681,100061,60.99,12.77,87,51.9895,87,54.5079,1,11,0.7,-8.3,4.025,0.8664916,0.908465,2,12,7.000,2,55,470000
"2020-02-12 07:03:01.55",25682,100062,60.99,12.76,87,51.9896,87,54.4896,1,11,0.7,-8.4,4.025,0.8664934,0.90816,2,12,7.000,3,0,870000
"2020-02-12 07:03:11.29",25683,100063,50.11,12.76,87,51.99,87,54.4497,1,11,0.7,-8.6,3.313,0.8665,0.907495,2,12,7.000,3,10,610000
"2020-02-12 07:03:16.31",25684,100064,10.67,12.76,87,51.9898,87,54.4397,1,11,0.7,-8.5,0.73,0.8664967,0.9073284,2,12,7.000,3,15,630000
"2020-02-12 07:03:28.9",25685,100065,35.13,12.76,87,51.9901,87,54.4017,1,11,0.7,-8.6,2.333,0.8665017,0.906695,2,12,7.000,3,28,220000
"2020-02-12 07:03:36.37",25686,100066,34.85,12.76,87,51.9906,87,54.3727,1,11,0.7,-8.7,2.315,0.86651,0.9062117,2,12,7.000,3,35,690000
"2020-02-12 07:03:42.57",25687,100067,43.94,12.75,87,51.9906,87,54.354,1,11,0.7,-8.4,2.909,0.86651,0.9059,2,12,7.000,3,41,890000
"2020-02-12 07:03:56.92",25688,100068,41.3,12.74,87,51.9909,87,54.322,1,11,0.7,-9,2.737,0.866515,0.9053666,2,12,7.000,3,56,240000
"2020-02-12 07:04:00.45",25689,100069,31.2,12.74,87,51.991,87,54.3149,1,11,0.7,-9,2.077,0.8665167,0.9052483,2,12,7.000,3,59,770000
"2020-02-12 07:04:03.99",25690,100070,23.24,12.74,87,51.9909,87,54.3024,1,11,0.7,-9,1.556,0.866515,0.90504,2,12,7.000,4,3,310000
"2020-02-12 07:04:07.54",25691,100071,20.09,12.74,87,51.9908,87,54.2821,1,11,0.7,-8.9,1.35,0.8665133,0.9047017,2,12,7.000,4,6,860000
"2020-02-12 07:04:11.71",25692,100072,47.47,12.74,87,51.9909,87,54.2517,1,11,0.7,-9.2,3.141,0.866515,0.904195,2,12,7.000,4,11,20000
"2020-02-12 07:04:17.05",25693,100073,41.86,12.74,87,51.9909,87,54.2399,1,11,0.7,-9.3,2.774,0.866515,0.9039983,2,12,7.000,4,16,360000
"2020-02-12 07:04:21.9",25694,100074,10.67,12.73,87,51.9907,87,54.2176,1,11,0.7,-9,0.73,0.8665117,0.9036267,2,12,7.000,4,21,210000
"2020-02-12 07:04:25.99",25695,100075,12.46,12.74,87,51.9909,87,54.1925,1,11,0.7,-8.8,0.85,0.866515,0.9032084,2,12,7.000,4,25,310000
"2020-02-12 07:04:32.61",25696,100076,16.5,12.74,87,51.9909,87,54.164,1,11,0.7,-8.5,1.115,0.866515,0.9027334,2,12,7.000,4,31,930000
"2020-02-12 07:04:38.21",25697,100077,19.98,12.73,87,51.9908,87,54.1421,1,11,0.7,-8.4,1.343,0.8665133,0.9023684,2,12,7.000,4,37,530000
"2020-02-12 07:04:44.95",25698,100078,25.37,12.73,87,51.9907,87,54.1233,1,11,0.7,-8,1.695,0.8665117,0.902055,2,12,7.000,4,44,270000
"2020-02-12 07:06:51.66",25699,100079,12.02,12.7,87,52.0162,87,54.7777,1,11,0.7,-8.5,0.82,0.8669367,0.9129617,2,12,7.000,6,50,980000
"2020-02-12 07:06:58.23",25700,100080,120,12.69,87,52.0165,87,54.7724,1,11,0.7,-8.8,7.881,0.8669416,0.9128734,2,12,7.000,6,57,550000
